a.out23526|0.534|2|0.005|0.005|10396.752023
a.out23531|0.539|1|0.007|0.007|10397.771314
a.out23536|0.509|1|0.004|0.004|10399.134902
a.out23543|0.557|3|0.006|0.007|10400.703334
a.out23548|0.557|1|0.007|0.007|10402.004085
a.out23553|0.568|1|0.004|0.004|10403.402271
a.out23478|0.515|3|0.006|0.007|10384.751537
a.out23483|0.584|1|0.004|0.004|10385.296867
a.out23488|0.567|1|0.004|0.004|10386.644878
a.out23493|0.596|2|0.006|0.007|10388.029122
a.out23498|0.512|1|0.007|0.007|10389.368152
a.out23503|0.564|1|0.006|0.006|10390.760472
a.out23508|0.587|2|0.005|0.006|10392.727495
a.out23513|0.505|1|0.006|0.006|10393.422933
a.out23521|0.514|1|0.004|0.004|10394.896047
