a.out(8)|8127.220|866|9.585|36.038|1603.510275|2228|8p
a.out(8)|8552.978|952|9.380|36.010|1606.790555|2427|8p
a.out(8)|8580.288|1003|8.878|51.586|1610.122911|2251|8p
a.out(5)|4996.610|1423|3.593|39.998|1614.783303|2095|8p
a.out(7)|7391.877|864|9.288|52.003|1618.447639|2340|8p
a.out(3)|3310.948|416|8.967|36.012|1621.451926|2473|8p
a.out(8)|8155.278|859|9.752|80.486|1625.424298|2123|8p
a.out(6)|6447.350|1414|4.890|41.462|1628.646062|2353|8p
a.out(8)|7515.004|6105|1.329|60.009|1631.232836|2251|8p
a.out(8)|8106.333|807|10.395|55.157|1635.769289|2071|8p
a.out(8)|8754.680|2550|3.623|40.015|1638.905562|2385|8p
a.out(8)|8416.652|1899|4.595|36.014|1641.165809|2322|8p
a.out(8)|7653.130|2007|3.884|36.010|1646.038223|2068|8p
a.out(8)|8138.473|1190|7.678|72.002|1649.250520|2204|8p
a.out(8)|8095.588|1229|7.346|36.025|1652.966895|2155|8p
a.out(8)|8679.466|987|8.942|36.038|1603.510278|2462|8p
a.out(8)|8499.151|928|9.665|36.010|1606.790557|2303|8p
a.out(5)|5572.056|631|8.934|51.585|1610.122910|2324|8p
a.out(8)|8304.792|988|8.745|39.998|1614.783302|2221|8p
a.out(8)|8732.274|1058|8.792|52.003|1618.447638|2600|8p
a.out(5)|5412.354|733|8.471|36.031|1621.471950|2406|8p
a.out(7)|7549.505|833|9.510|80.486|1625.424297|2311|8p
a.out(6)|5925.950|950|6.647|41.462|1628.646061|2084|8p
a.out(7)|7010.336|2419|3.203|60.009|1631.232835|2233|8p
a.out(5)|5254.380|587|9.275|55.157|1635.769290|2217|8p
a.out(8)|8532.651|905|9.848|40.015|1638.905560|2202|8p
a.out(7)|7446.887|838|9.412|36.005|1642.561903|2350|8p
a.out(8)|8910.646|2197|4.223|43.144|1646.918287|2644|8p
a.out(7)|7364.611|2001|4.121|72.002|1649.250523|2347|8p
a.out(6)|6471.108|1116|7.012|36.024|1652.966896|2509|8p
a.out(7)|7050.194|785|9.362|36.038|1603.510276|2142|8p
a.out(8)|8273.130|877|10.078|36.010|1606.790558|2313|8p
a.out(8)|8613.951|1007|8.895|51.585|1610.122911|2240|8p
a.out(8)|8533.901|970|8.945|39.998|1614.783302|2410|8p
a.out(8)|7523.598|876|9.050|52.003|1618.447640|2013|8p
a.out(4)|4303.211|563|8.739|36.012|1621.451926|2393|8p
a.out(8)|8538.712|942|9.390|80.486|1625.424299|2306|8p
a.out(7)|7277.307|1848|4.064|42.693|1627.139144|2234|8p
a.out(8)|8145.219|873|9.751|60.009|1631.232832|2282|8p
