Task	Runtime ms	Switches	Average delay ms	Maximum delay ms	Maximum delay at	n of processes	
  a.out:2834	1353.508 ms	5	avg:    0.023 ms	max:    0.080 ms	max at:    541.625250 s	t1	
  a.out:2844	1341.938 ms	7	avg:    0.010 ms	max:    0.020 ms	max at:    543.489016 s	t1	
  a.out:2853	1362.576 ms	3	avg:    0.008 ms	max:    0.013 ms	max at:    544.984720 s	t1	
  a.out:(4)	             |   5904.955 ms |	       96 |	 avg:    0.018 ms |	 max:    0.114 ms |	 max at:   1088.783802 s|	t4
  a.out:(4)	             |   5896.664 ms |	       95 |	 avg:    0.041 ms |	 max:    2.061 ms |	 max at:   1092.073956 s|	t4
  a.out:(4)	             |   5913.869 ms |	      106 |	 avg:    0.018 ms |	 max:    0.155 ms |	 max at:   1092.856109 s|	t4
  a.out:(4)	             |   5882.476 ms |	       94 |	 avg:    0.020 ms |	 max:    0.273 ms |	 max at:   1064.939312 s|	t4
  a.out:(4)	             |   5919.037 ms |	       83 |	 avg:    0.020 ms |	 max:    0.155 ms |	 max at:   1066.394347 s|	t4
  a.out:(4)	             |   5864.836 ms |	      229 |	 avg:    0.178 ms |	 max:    5.894 ms |	 max at:   1069.468271 s|	t4
  a.out:(3)	             |   4335.458 ms |	      157 |	 avg:    0.736 ms |	 max:   11.951 ms |	 max at:   1071.758484 s|	t4
  a.out:(4)	             |   5870.542 ms |	       82 |	 avg:    0.017 ms |	 max:    0.125 ms |	 max at:   1072.546115 s|	t4
  a.out:(4)	             |   5873.400 ms |	      100 |	 avg:    0.022 ms |	 max:    0.264 ms |	 max at:   1074.939949 s|	t4
  a.out:(4)	|   5895.862 ms |	       89 |	avg:    0.020 ms |	 max:    0.144 ms |	 max at:   1076.599005 s|	t4
  a.out:(4)	             |   5915.580 ms |	      112 |	 avg:    0.073 ms |	 max:    2.015 ms |	 max at:   1080.073633 s|	t4
  a.out:(4)	             |   5891.945 ms |	       94 |	 avg:    0.025 ms |	 max:    0.271 ms |	 max at:   1081.075517 s|	t4
  a.out:(4)	             |   5909.503 ms |	      107 |	 avg:    0.019 ms |	 max:    0.142 ms |	 max at:   1082.975429 s|	t4
  a.out:(4)	             |   5877.212 ms |	      108 |	 avg:    0.135 ms |	 max:    4.005 ms |	 max at:   1084.735426 s|	t4
  a.out:(4)	             |   5905.516 ms |	      112 |	 avg:    0.027 ms |	 max:    0.340 ms |	 max at:   1087.586415 s|	t4
  a.out:(3)	             |   4445.995 ms |	       52 |	 avg:    0.021 ms |	 max:    0.107 ms |	 max at:   1088.791779 s|	t4
  a.out:(4)	             |   5904.693 ms |	       93 |	 avg:    0.042 ms |	 max:    2.061 ms |	 max at:   1092.073955 s|	t4
  a.out:(4)	             |   5913.149 ms |	      106 |	 avg:    0.018 ms |	 max:    0.155 ms |	 max at:   1092.856108 s|	t4
  a.out:(4)	             |   5866.795 ms |	       94 |	 avg:    0.020 ms |	 max:    0.273 ms |	 max at:   1064.939312 s|	t4
  a.out:(4)	             |   5899.900 ms |	       83 |	 avg:    0.020 ms |	 max:    0.155 ms |	 max at:   1066.394347 s|	t4
  a.out:(4)	             |   5891.749 ms |	      233 |	 avg:    0.175 ms |	 max:    5.894 ms |	 max at:   1069.468272 s|	t4
  a.out:(4)	             |   5794.047 ms |	      375 |	 avg:    0.319 ms |	 max:   11.951 ms |	 max at:   1071.758485 s|	t4
  a.out:(4)	             |   5885.580 ms |	       84 |	 avg:    0.049 ms |	 max:    2.649 ms |	 max at:   1074.018698 s|	t4
  a.out:(4)	             |   5875.560 ms |	      100 |	 avg:    0.022 ms |	 max:    0.264 ms |	 max at:   1074.939948 s|	t4
  a.out:(4)	             |   5898.310 ms |	       89 |	 avg:    0.020 ms |	 max:    0.143 ms |	 max at:   1076.599003 s|	t4
  a.out:(4)	             |   5909.022 ms |	      108 |	 avg:    0.060 ms |	 max:    2.015 ms |	 max at:   1080.073632 s|	t4
  a.out:(4)	             |   5900.733 ms |	       94 |	 avg:    0.025 ms |	 max:    0.271 ms |	 max at:   1081.075519 s|	t4
  a.out:(8)	             |   9390.654 ms |	      803 |	 avg:   11.659 ms |	 max:   32.002 ms |	 max at:   1417.085797 s|	t8
  a.out:(8)	             |  11395.760 ms |	     1000 |	 avg:   11.243 ms |	 max:   31.982 ms |	 max at:   1423.326217 s|	t8
  a.out:(8)	             |  11382.279 ms |	     1057 |	 avg:   10.739 ms |	 max:   28.011 ms |	 max at:   1424.722323 s|	t8
  a.out:(8)	             |  10393.571 ms |	     1149 |	 avg:    9.162 ms |	 max:   32.005 ms |	 max at:   1429.118634 s|	t8
  a.out:(8)	             |  11272.250 ms |	     1028 |	 avg:   10.895 ms |	 max:   24.656 ms |	 max at:   1432.482884 s|	t8
  a.out:(8)	             |  11586.345 ms |	     1057 |	 avg:   10.988 ms |	 max:   28.006 ms |	 max at:   1439.159289 s|	t8
  a.out:(8)	             |  11329.847 ms |	     1157 |	 avg:    9.778 ms |	 max:   28.022 ms |	 max at:   1384.859637 s|	t8
  a.out:(8)	             |  11872.534 ms |	     1100 |	 avg:   10.750 ms |	 max:   40.046 ms |	 max at:   1385.863755 s|	t8
  a.out:(8)	             |  11770.975 ms |	     1066 |	 avg:   11.102 ms |	 max:   36.004 ms |	 max at:   1392.680147 s|	t8
  a.out:(8)	             |  11615.842 ms |	     1067 |	 avg:   10.857 ms |	 max:   31.990 ms |	 max at:   1396.440405 s|	t8
  a.out:(8)	             |  11750.571 ms |	     1082 |	 avg:   10.848 ms |	 max:   23.980 ms |	 max at:   1397.876499 s|	t8
  a.out:(8)	             |  11646.889 ms |	     1198 |	 avg:    9.683 ms |	 max:   31.983 ms |	 max at:   1403.672891 s|	t8
  a.out:(7)	             |   9966.674 ms |	      906 |	 avg:   10.908 ms |	 max:   31.980 ms |	 max at:   1405.525015 s|	t8
  a.out:(8)	             |  11148.678 ms |	     1012 |	 avg:   11.004 ms |	 max:   41.477 ms |	 max at:   1409.221334 s|	t8
  a.out:(7)	             |  10010.078 ms |	      893 |	 avg:   11.470 ms |	 max:   32.846 ms |	 max at:   1413.265537 s|	t8
  a.out:(8)	             |  11291.634 ms |	      965 |	 avg:   11.511 ms |	 max:   31.984 ms |	 max at:   1418.373883 s|	t8
  a.out:(8)	             |  11150.806 ms |	      986 |	 avg:   11.224 ms |	 max:   31.982 ms |	 max at:   1423.326217 s|	t8
