Task|Runtime.ms|Switches|Average.delay.ms|Maximum.delay.ms|Maximum.delay.at|Time|N.Of.Processes
a.out(4)|4273.753|182|1.701|27.989|5189.106603|1171|4p
a.out(4)|4346.369|76|0.574|15.985|5190.110615|1108|4p
a.out(4)|4282.822|112|0.044|1.499|5192.032109|1119|4p
a.out(4)|4335.506|85|0.893|16.018|5193.646624|1134|4p
a.out(4)|4385.577|105|0.498|13.714|5195.338611|1124|4p
a.out(4)|4695.575|322|0.055|3.541|5198.238627|1278|4p
a.out(4)|4380.266|127|0.100|3.743|5200.110628|1116|4p
a.out(4)|4150.704|97|0.575|12.001|5200.850595|1127|4p
a.out(4)|4321.281|77|0.077|4.187|5202.531281|1112|4p
a.out(4)|4300.687|124|0.100|3.476|5204.302640|1126|4p
a.out(4)|4353.340|119|0.088|3.339|5206.058641|1115|4p
a.out(4)|4263.228|104|0.450|22.670|5207.802177|1122|4p
a.out(4)|4321.651|244|0.034|2.823|5209.542656|1114|4p
a.out(4)|4383.023|95|0.969|14.444|5211.274593|1148|4p
a.out(4)|4351.642|119|0.213|12.242|5213.014816|1127|4p
a.out(4)|4321.222|181|1.840|27.989|5189.106603|1185|4p
a.out(3)|3297.399|50|0.862|15.985|5190.110615|1123|4p
a.out(4)|4290.245|238|0.096|6.187|5191.860791|1131|4p
a.out(2)|2168.459|30|0.142|3.501|5194.630613|1121|4p
a.out(4)|4368.421|99|0.419|13.714|5195.338610|1123|4p
a.out(3)|3532.499|54|0.180|3.543|5198.238627|1273|4p
a.out(4)|4336.207|121|0.172|12.007|5199.006596|1131|4p
a.out(3)|3191.755|56|0.695|12.001|5200.850593|1130|4p
a.out(4)|4358.996|92|0.173|4.187|5202.531283|1124|4p
a.out(6)|6506.218|694|9.625|41.002|5785.478320|2281|8p
a.out(8)|8095.170|2820|3.023|48.085|5787.638409|2319|8p
a.out(7)|7432.596|698|10.832|44.026|5791.842348|2310|8p
a.out(8)|8364.425|786|10.931|52.008|5795.262331|2376|8p
a.out(8)|8676.763|850|10.760|63.994|5799.366325|2390|8p
a.out(7)|7423.190|1513|5.031|36.026|5802.178365|2215|8p
a.out(6)|4680.238|494|12.794|52.032|5754.402353|1855|8p
a.out(4)|4319.477|419|10.433|31.994|5757.954315|2349|8p
a.out(7)|7497.592|1264|6.368|56.007|5761.162325|2451|8p
a.out(7)|7279.529|1130|6.791|54.632|5764.614326|2188|8p
a.out(8)|8174.896|761|11.157|39.995|5766.546324|2140|8p
a.out(4)|4301.464|408|11.117|31.989|5771.494318|2212|8p
a.out(8)|8814.985|917|9.854|64.009|5774.762329|2429|8p
a.out(8)|7843.126|833|10.146|60.572|5776.838145|2294|8p
a.out(8)|8647.177|766|11.433|40.029|5781.474348|2250|8p
a.out(8)|8193.584|846|9.962|31.977|5785.234322|2142|8p
a.out(6)|6741.247|840|8.041|32.012|5788.878335|2364|8p
a.out(6)|6580.164|625|10.665|44.026|5791.842350|2452|8p
a.out(4)|4248.230|417|10.493|52.009|5795.262332|2182|8p
a.out(6)|6510.081|604|10.723|36.622|5797.114331|2211|8p
a.out(7)|7400.841|1508|5.034|36.026|5802.178365|2236|8p
a.out(8)|8208.335|827|12.462|52.031|5754.402354|2448|8p
a.out(7)|7624.400|745|10.402|40.000|5758.406316|2303|8p
a.out(8)|8553.689|832|10.898|56.007|5761.162322|2440|8p
a.out(6)|6350.144|618|10.705|54.632|5764.614325|2267|8p
a.out(7)|7250.945|667|11.493|39.996|5766.546321|2241|8p
a.out(8)|8521.655|794|11.008|31.989|5771.494319|2214|8p
a.out(8)|8561.054|862|10.115|64.009|5774.762327|2298|8p
a.out(8)|6904.671|730|10.175|60.572|5776.838144|1914|8p
a.out(8)|9050.240|1278|7.256|40.029|5781.474350|2541|8p
a.out(4)|4198.041|424|10.119|41.002|5785.478319|2164|8p
a.out(8)|9136.194|1908|4.996|48.085|5787.638409|2531|8p
a.out(5)|4830.168|426|11.101|44.026|5791.842349|1935|8p
a.out(7)|6439.530|587|10.846|52.009|5795.262333|1841|8p
a.out(7)|7372.052|709|10.437|44.025|5798.562353|2160|8p
a.out(8)|8756.990|838|10.888|36.026|5802.178364|2420|8p
a.out(5)|5317.126|592|11.392|52.032|5754.402352|2605|8p
a.out(8)|8879.183|866|10.392|40.000|5758.406317|2345|8p
a.out(8)|7661.152|756|10.649|56.007|5761.162324|2086|8p
a.out(8)|8260.953|1219|7.049|54.632|5764.614327|2175|8p
a.out(8)|8530.756|795|11.111|39.995|5766.546324|2301|8p
a.out(8)|8233.375|756|11.134|31.989|5771.494319|2082|8p
a.out(6)|5991.431|610|10.304|64.009|5774.762329|2127|8p
a.out(7)|6553.405|669|10.029|60.572|5776.838141|1920|8p
a.out(8)|8540.656|755|11.552|40.029|5781.474348|2266|8p
a.out(8)|8485.978|891|9.789|31.977|5785.234322|2231|8p
a.out(7)|7403.036|823|9.097|32.012|5788.878334|2146|8p
a.out(7)|7173.532|674|10.795|44.026|5791.842349|2109|8p
a.out(8)|8915.306|876|10.589|55.367|5796.273680|2686|8p
a.out(8)|8835.434|1521|5.962|44.025|5798.562353|2396|8p
a.out(8)|8455.983|796|10.877|36.026|5802.178362|2169|8p
a.out(7)|7802.488|753|12.142|43.976|5752.898313|2747|8p
a.out(7)|7318.736|705|10.703|40.000|5758.406315|2147|8p
a.out(8)|8235.456|782|11.142|56.007|5761.162321|2291|8p
a.out(8)|8672.827|956|9.534|54.632|5764.614326|2407|8p
a.out(8)|8188.900|1069|8.029|39.995|5766.546326|2319|8p
a.out(8)|8814.444|848|10.653|35.430|5769.901425|2364|8p
a.out(8)|8669.116|885|10.078|64.009|5774.762327|2400|8p
a.out(7)|7674.479|833|9.428|60.572|5776.838143|2539|8p
a.out(8)|8471.342|1775|4.852|40.029|5781.474351|2266|8p
a.out(8)|8481.891|891|9.739|41.002|5785.478318|2412|8p
a.out(7)|7918.418|872|9.116|32.012|5788.878334|2364|8p
a.out(8)|8722.976|853|10.586|44.026|5791.842351|2378|8p
a.out(3)|3184.666|327|10.308|52.008|5795.262332|2225|8p
a.out(8)|8464.792|819|10.772|63.994|5799.366325|2267|8p
a.out(8)|8743.669|836|10.880|36.026|5802.178363|2426|8p
a.out(7)|6321.850|631|12.887|52.032|5754.402353|2120|8p
a.out(8)|8429.558|803|10.645|40.000|5758.406315|2146|8p
a.out(8)|8238.004|1832|4.734|56.007|5761.162326|2286|8p
a.out(8)|8275.064|779|11.128|54.632|5764.614324|2217|8p
a.out(8)|8703.219|817|11.074|39.995|5766.546323|2462|8p
a.out(6)|6696.252|618|10.859|35.431|5769.901424|2397|8p
a.out(8)|8457.628|858|10.016|64.009|5774.762328|2210|8p
a.out(5)|5403.268|580|8.955|40.008|5776.662326|2522|8p
a.out(7)|7269.901|625|11.895|40.029|5781.474347|2157|8p
a.out(6)|6510.644|705|9.500|41.002|5785.478319|2282|8p
a.out(6)|6819.913|772|9.070|35.998|5789.362318|2639|8p
a.out(8)|8146.015|1562|5.304|44.026|5791.842352|2239|8p
a.out(7)|7658.125|711|10.606|52.009|5795.262334|2323|8p
a.out(6)|6482.544|632|10.409|44.025|5798.562352|2230|8p
a.out(8)|8596.064|808|10.928|36.026|5802.178363|2247|8p
a.out(8)|8911.312|921|11.788|52.031|5754.402355|2801|8p
a.out(8)|8996.364|882|10.442|40.000|5758.406317|2575|8p
