a.out6952|980.889|3|0.091|0.259|1566.067994
a.out6960|1016.778|4|0.047|0.174|1567.388569
a.out6967|966.936|5|0.029|0.069|1568.757561
a.out6975|980.682|1|0.004|0.004|1569.978505
a.out6982|979.143|3|0.005|0.005|1571.298056
a.out6990|1003.016|5|0.006|0.011|1572.619376
a.out6885|1003.200|3|0.005|0.006|1553.977633
a.out6894|1011.940|14|0.098|0.171|1555.385597
a.out6901|971.801|5|0.092|0.251|1556.747837
a.out6909|1043.120|8|0.129|0.344|1558.063098
a.out6916|978.623|4|0.005|0.006|1559.354028
a.out6924|974.366|5|0.010|0.021|1560.686266
a.out6932|991.458|3|0.241|0.713|1562.074206
a.out6940|980.231|3|0.004|0.005|1563.313100
a.out6945|1006.359|2|0.004|0.005|1564.954637
