a.out(4)|4302.715|108|0.817|12.428|1590.112994
a.out(4)|4436.162|659|0.254|24.010|1591.761148
a.out(4)|4349.408|153|0.266|13.262|1593.440791
a.out(4)|4407.533|159|0.734|9.766|1595.185462
a.out(4)|4373.366|181|0.298|10.044|1596.989933
a.out(4)|4262.177|2376|0.036|13.184|1598.810457
a.out(2)|2191.032|78|0.246|7.942|1574.339459
a.out(4)|4264.158|128|0.198|3.363|1576.171056
a.out(4)|4175.618|224|0.720|13.877|1577.967889
a.out(4)|4393.971|182|0.216|7.266|1579.563275
a.out(3)|3247.710|76|0.205|2.747|1581.407982
a.out(4)|4291.338|121|0.214|4.288|1583.128359
a.out(4)|4108.664|658|0.060|6.598|1584.965679
a.out(4)|4446.180|177|0.949|12.741|1586.540658
a.out(4)|4303.684|128|1.148|24.097|1588.304826
a.out(4)|4372.975|135|0.385|12.428|1590.112993
a.out(4)|4304.371|628|0.253|24.010|1591.761147
a.out(4)|4305.342|296|0.153|13.262|1593.440791
a.out(4)|4362.052|151|0.762|9.765|1595.185461
a.out(4)|4370.098|180|0.299|10.044|1596.989932
a.out(4)|4245.093|166|0.210|8.265|1599.849928
a.out(4)|4403.039|145|0.229|10.965|1574.330478
a.out(4)|4269.829|125|0.202|3.363|1576.171055
a.out(3)|3182.082|121|0.638|13.877|1577.967887
a.out(3)|3282.047|112|0.262|7.266|1579.563274
a.out(4)|4357.250|114|0.261|3.826|1581.374284
a.out(3)|3218.072|293|0.208|11.706|1583.124036
a.out(4)|4180.574|115|0.183|3.769|1584.996547
a.out7259|1111.963|72|0.347|6.640|1586.559315
a.out(4)|4321.998|129|1.152|24.097|1588.304825
a.out(4)|4268.883|127|0.416|12.428|1590.112992
a.out(4)|4317.446|195|0.728|24.010|1591.761147
a.out(4)|4285.959|493|0.132|13.262|1593.440792
a.out(2)|2204.057|73|1.038|8.015|1595.209483
a.out(4)|4343.238|168|0.469|12.005|1596.921627
a.out(4)|4243.019|380|0.127|12.637|1598.826900
a.out(4)|4368.270|140|0.218|10.966|1574.330479
a.out(4)|4270.247|1285|0.050|8.163|1576.075708
a.out(4)|4451.873|252|0.651|13.877|1577.967888
a.out(4)|4352.322|928|0.081|9.709|1579.524001
a.out(4)|4232.888|174|0.149|3.826|1581.374286
a.out(4)|4269.798|292|0.197|11.706|1583.124036
a.out(2)|2063.538|23|0.292|4.081|1586.108636
a.out(4)|4396.627|163|1.003|12.741|1586.540657
a.out(4)|4381.092|144|1.052|24.097|1588.304824
a.out(4)|4345.620|123|0.726|12.428|1590.112995
a.out(3)|3243.103|136|0.648|24.010|1591.761146
a.out(4)|4255.989|110|0.150|2.291|1594.545417
a.out(4)|4403.746|157|0.748|9.765|1595.185460
a.out(4)|4344.042|149|0.265|10.045|1596.989932
a.out(4)|4260.695|2377|0.035|13.184|1598.810456
a.out(2)|2198.268|83|0.139|2.060|1575.423650
a.out(4)|4253.480|1281|0.051|8.163|1576.075708
a.out(4)|4345.024|237|0.588|13.877|1577.967888
a.out(4)|4397.953|1246|0.065|9.709|1579.524002
a.out(4)|4366.818|178|0.200|3.826|1581.374286
a.out(4)|4402.520|147|0.415|11.706|1583.124035
a.out(4)|4184.596|677|0.062|6.598|1584.965678
a.out(4)|4365.473|154|0.978|12.009|1586.552666
a.out(4)|4423.247|151|0.996|24.097|1588.304827
