a.out(4)|4284.305|111|0.146|3.962|5205.370601|1120|4
a.out(4)|4357.156|121|0.093|3.339|5206.058642|1118|4
a.out(4)|4183.733|209|0.387|22.670|5207.802178|1137|4
a.out(4)|4379.553|92|0.095|4.198|5210.642604|1123|4
a.out(4)|4300.866|82|0.366|14.444|5211.274593|1128|4
a.out(4)|4221.090|104|0.209|12.242|5213.014816|1109|4
a.out(4)|4283.465|110|3.043|27.990|5189.106602|1164|4
a.out(4)|4411.555|71|0.649|15.985|5190.110614|1128|4
a.out(4)|4231.254|233|0.095|6.187|5191.860792|1124|4
a.out(4)|4404.380|99|0.873|16.018|5193.646624|1174|4
a.out(4)|4402.507|111|0.704|13.713|5195.338612|1163|4
a.out(4)|4416.381|86|0.150|3.179|5197.178851|1118|4
a.out(4)|4314.622|109|0.081|3.743|5200.110627|1119|4
a.out(4)|4166.206|95|0.582|12.001|5200.850594|1124|4
a.out(4)|4338.555|81|0.074|4.187|5202.531282|1108|4
a.out(4)|4230.543|312|0.072|5.474|5204.226598|1121|4
a.out(4)|4341.475|120|0.067|3.339|5206.058643|1117|4
a.out(2)|2098.331|66|0.113|5.067|5207.803665|1109|4
a.out(4)|4264.754|85|0.099|4.197|5210.642604|1116|4
a.out(4)|4373.840|100|1.004|14.444|5211.274595|1159|4
a.out(3)|3251.183|104|0.125|3.541|5214.066601|1125|4
a.out(4)|4394.084|140|2.578|27.989|5189.106603|1289|4
a.out(4)|4390.634|67|0.528|15.985|5190.110613|1130|4
a.out(4)|4159.925|126|0.040|1.499|5192.032108|1119|4
a.out(4)|4216.397|91|0.518|16.018|5193.646623|1112|4
a.out(4)|4348.252|104|0.572|13.713|5195.338611|1117|4
a.out(4)|4428.165|301|0.047|3.179|5197.178852|1123|4
a.out(4)|4386.324|120|0.106|3.743|5200.110628|1121|4
a.out(4)|4151.243|67|0.704|12.000|5200.850593|1149|4
a.out(4)|4356.289|92|0.173|4.188|5202.531283|1123|4
a.out(4)|4193.288|104|0.092|3.962|5205.370600|1116|4
a.out(4)|4221.197|99|0.070|3.232|5207.154594|1112|4
a.out(4)|4269.095|216|0.375|22.670|5207.802177|1140|4
a.out(4)|4379.043|248|0.050|4.198|5210.642605|1129|4
a.out(3)|3250.848|87|0.731|14.444|5211.274594|1142|4
a.out(4)|4235.924|108|0.075|3.541|5214.066601|1106|4
a.out(4)|4273.753|182|1.701|27.989|5189.106603|1171|4
a.out(4)|4346.369|76|0.574|15.985|5190.110615|1108|4
a.out(4)|4282.822|112|0.044|1.499|5192.032109|1119|4
a.out(4)|4335.506|85|0.893|16.018|5193.646624|1134|4
a.out(4)|4385.577|105|0.498|13.714|5195.338611|1124|4
a.out(4)|4695.575|322|0.055|3.541|5198.238627|1278|4
a.out(4)|4380.266|127|0.100|3.743|5200.110628|1116|4
a.out(4)|4150.704|97|0.575|12.001|5200.850595|1127|4
a.out(4)|4321.281|77|0.077|4.187|5202.531281|1112|4
a.out(4)|4300.687|124|0.100|3.476|5204.302640|1126|4
a.out(4)|4353.340|119|0.088|3.339|5206.058641|1115|4
a.out(4)|4263.228|104|0.450|22.670|5207.802177|1122|4
a.out(4)|4321.651|244|0.034|2.823|5209.542656|1114|4
a.out(4)|4383.023|95|0.969|14.444|5211.274593|1148|4
a.out(4)|4351.642|119|0.213|12.242|5213.014816|1127|4
a.out(4)|4321.222|181|1.840|27.989|5189.106603|1185|4
a.out(3)|3297.399|50|0.862|15.985|5190.110615|1123|4
a.out(4)|4290.245|238|0.096|6.187|5191.860791|1131|4
a.out(2)|2168.459|30|0.142|3.501|5194.630613|1121|4
a.out(4)|4368.421|99|0.419|13.714|5195.338610|1123|4
a.out(3)|3532.499|54|0.180|3.543|5198.238627|1273|4
a.out(4)|4336.207|121|0.172|12.007|5199.006596|1131|4
a.out(3)|3191.755|56|0.695|12.001|5200.850593|1130|4
a.out(4)|4358.996|92|0.173|4.187|5202.531283|1124|4
